"estabelecimento","total gasto"
"HOTEL SAN JUAN LTDA",4315
"HOTEL DE TRANSITO DE OFICIAIS DE SÃO GABRIEL DA CACHOEIRA-AM",4305
"IPORA HOTEIS E TURISMO LTDA",4301
"JPA EMPREENDIMENTOS HOTELEIROS E TURÍSTICOS LTDA - MRE",4299
"HOTEL PEDRA NEGRA LTDA",4297
"TRADE GARDEN HOTEL LTDA","4288,25"
"MGM HOTEIS LTDA",4270
"DM HOTEIS E PROMOÇÕES DE EVENTOS LTDA - EPP",4250
"POUSADA CLÁSSICA DE OURO PRETO LTDA",4246
"HOTEL EXECUTIVE LTDA",4242
"KINO EMPREENDIMENTO HOTELEIRO LTDA","4236,75"
"KINO EMPEENDIMENTO HOTELEIRO LTDA","4168,5"
"LIVRAMENTO PALACE HOTEL LTDA",4124
"LAHOTELS EMPREENDIMENTOS 1 LTDA",4116
"LIGATUR HOTELARIA E TURISMO LTDA",4115
"HOTEL BONS TEMPOS LTDA",4075
"STAFF ADMIN LTDA - UBERABA APART HOTEL",4037
"OCTAVIANO ZANDONAI E FILHOS LTDA",3993
"NARA LAISE FREIRE SILVA",3978
"SANTOS DUMONT INVEST. IMOBILIARIO S/A - NOVOTEL RJ SANTOS DUMONT","3977,4"
"PLINIO VARNIER",3970
"ABOUL & HOSN LTDA - ME",3960
"CUNHAS HOTEL E TURISMO LTDA",3960
"HOTEIS SLAVIERO DO BRASIL LTDA",3948
"SALTO GRANDE TURIS HOTEL LTDA",3880
"TARUMÃ EMPREENDIMENTOS TURÍSTICOS LTDA",3880
"POUSADA MIRANTE DO CAFÉ LTDA",3860
"HOTEL IMBAÚ PALACE LTDA",3840
"HOTEIS E TURISMO FLORESTA S/A",3834
"PORTOBELLO SALVADOR HOTÉIS E TURISMO LTDA","3806,25"
"LANCHONETE IRAES LTDA- LANCH TONY E THAIS",3771
"DE GUERINO RIGO & CIA. LTDA. RIGO HOTEL",3722
"DAN INN HOTEL RIBEIRÃO PRETO LTDA",3700
"MARIA ANGELA MAGALHÃES ELIAS - ME",3650
"INSPEDTORIA SAO JOAO BOSCO CENTRO DOM BOSCO","3647,88"
"GARDEN TERRACE HOTEL",3600
"COSTA NORTE TURISMO LTDA -EPP",3589
"R.C.R. HOTEL LTDA-ME",3588
"HOTEL E RESTAURANTE RULIZ LTDA",3586
"NORTE PALACE HOTEL",3552
"VALMA DOS SANTOS RODRIGUES",3540
"ORGANIZAÇÃO HOTELEIRA ITAPETININGA LTDA",3535
"HOTEL PARAUHAU LTDA","3512,25"
"COMPANHIA NORTE MINEIRA DE HOTEIS E TURISMO","3509,07"
"A. U. DA COSTA SOUZA - ME",3500
"FENIX HOTEL",3478
"BONANÇA - HOTÉIS E TURISMO LTDA.",3435
"HOTEL DON ANTONIO",3420
"LORENÇONI E CIDALLO LTDA - ME",3420
"HOTEL VALE DO TOCANTINS",3400
"ESTANPLAZA IBIRAPUERA ADMINISSTRADORA HOTELEIRA E COMERCIAL LTDA.","3391,5"
"UMUARAMA PLAZA",3380
"P E W EMPREENDIMENTOS COMERCIAIS LTDA",3375
"OCEANO PRAIA HOTEL LTDA",3365
"COMPANHIA HOTÉIS DO LEME",3360
"LUXOR HOTEIS TURISMO SA","3324,3"
"HOTEL DELLA VOLPE LTDA","3286,5"
"SERVIÇO SOCIAL DO COMERCIO - SESC",3279
"PORTO SEGURO HOTEL SALTO LTDA",3259
"PILÕES PALACE HOTEL LTDA",3177
"M. C. G. MONTEIRO",3150
"GB DA SILVA HOTEL E CHURRASCARIA  - ME","3145,44"
"HOTEL EXPRESS LTDA",3120
"J.A.D ARAÚJO & CIA",3090
"M C C SAMPAIO - ME",3090
"WINDSOR BARRA HOTEL LTDA","3071,38"
"CRYSTAL PALACE HOTEL","3064,9"
"IRMÃOS ALVES EMPREENDIMENTOS TURÍSTICOS LTDA",3060
"J. MALUCELLI HOTÉIS E TURISMO LTDA",3045
